node_a,node_b,jaccard_index
hsa-miR-18a-5p,hsa-miR-19a-3p,0.125
hsa-miR-20a-5p,hsa-miR-93-5p,0.125
hsa-miR-93-5p,hsa-miR-106b-5p,0.13043478260869565
hsa-miR-17-5p,hsa-miR-106a-5p,0.13636363636363635
hsa-miR-18a-5p,hsa-miR-19b-3p,0.14285714285714285
hsa-miR-200b-3p,hsa-miR-200c-3p,0.15789473684210525
hsa-miR-20a-5p,hsa-miR-130b-3p,0.16666666666666666
hsa-miR-29a-3p,hsa-miR-29b-3p,0.16666666666666666
hsa-miR-221-3p,hsa-miR-222-3p,0.25
hsa-miR-27a-3p,hsa-miR-128-3p,0.25
hsa-miR-23a-3p,hsa-miR-151a-3p,0.5
hsa-miR-17-5p,hsa-miR-20a-5p,0.5714285714285714
hsa-miR-19a-3p,hsa-miR-19b-3p,0.6666666666666666
