node_a,node_b,association,is_association_of_interest
hsa-miR-141-3p,hsa-let-7d-5p,0.0,0
hsa-miR-141-3p,hsa-miR-378a-3p,0.0,0
hsa-miR-141-3p,hsa-miR-18a-5p,0.0,0
hsa-miR-141-3p,hsa-miR-106b-5p,0.0,0
hsa-miR-141-3p,hsa-miR-155-5p,0.0,0
hsa-miR-141-3p,hsa-miR-182-5p,0.0,0
hsa-miR-141-3p,hsa-miR-320b,0.0,0
hsa-miR-141-3p,hsa-miR-30c-5p,0.0,0
hsa-let-7d-5p,hsa-miR-378a-3p,0.0,0
hsa-let-7d-5p,hsa-miR-18a-5p,0.0,0
hsa-let-7d-5p,hsa-miR-106b-5p,0.0,0
hsa-let-7d-5p,hsa-miR-155-5p,0.0,0
hsa-let-7d-5p,hsa-miR-182-5p,0.0,0
hsa-let-7d-5p,hsa-miR-320b,0.0,0
hsa-let-7d-5p,hsa-miR-30c-5p,0.0,0
hsa-miR-378a-3p,hsa-miR-18a-5p,0.0,0
hsa-miR-378a-3p,hsa-miR-106b-5p,0.0,0
hsa-miR-378a-3p,hsa-miR-155-5p,0.0,0
hsa-miR-378a-3p,hsa-miR-182-5p,0.0,0
hsa-miR-378a-3p,hsa-miR-320b,0.0,0
hsa-miR-378a-3p,hsa-miR-30c-5p,0.0,0
hsa-miR-18a-5p,hsa-miR-106b-5p,0.0,0
hsa-miR-18a-5p,hsa-miR-155-5p,0.0,0
hsa-miR-18a-5p,hsa-miR-182-5p,0.0,0
hsa-miR-18a-5p,hsa-miR-320b,0.0,0
hsa-miR-18a-5p,hsa-miR-30c-5p,0.0,0
hsa-miR-106b-5p,hsa-miR-155-5p,0.0,0
hsa-miR-106b-5p,hsa-miR-182-5p,0.0,0
hsa-miR-106b-5p,hsa-miR-320b,0.0,0
hsa-miR-106b-5p,hsa-miR-30c-5p,0.0,0
hsa-miR-155-5p,hsa-miR-182-5p,0.0,0
hsa-miR-155-5p,hsa-miR-320b,0.0,0
hsa-miR-155-5p,hsa-miR-30c-5p,0.0,0
hsa-miR-182-5p,hsa-miR-320b,0.0,0
hsa-miR-182-5p,hsa-miR-30c-5p,0.0,0
hsa-miR-320b,hsa-miR-30c-5p,0.0,0
